,date,weather,high,low,win,Unnamed: 5
974,2018-9-1,暴雨,29,24,无持续风向1-2级,
975,2018-9-2,雷阵雨,30,24,无持续风向1-2级,
976,2018-9-3,雷阵雨,32,26,无持续风向1-2级,
977,2018-9-4,多云,34,26,无持续风向1-2级,
978,2018-9-5,雷阵雨,35,26,无持续风向1-2级,
979,2018-9-6,雷阵雨,34,25,无持续风向1-2级,
980,2018-9-7,中雨,32,24,无持续风向1-2级,
981,2018-9-8,阵雨,32,23,无持续风向1-2级,
982,2018-9-9,多云,30,24,无持续风向1-2级,
983,2018-9-10,多云,31,24,无持续风向1-2级,
984,2018-9-11,多云,32,24,无持续风向1-2级,
985,2018-9-12,雷阵雨,31,25,东北风3-4级,
986,2018-9-13,雷阵雨,32,25,东北风3-4级,
987,2018-9-14,晴,34,26,无持续风向1-2级,
988,2018-9-15,晴,35,25,东北风4-5级,
989,2018-9-16,大暴雨,29,24,东北风8-9级,
990,2018-9-17,中雨,29,25,东南风4-5级,
991,2018-9-18,雷阵雨,32,26,无持续风向1-2级,
992,2018-9-19,多云,34,25,无持续风向1-2级,
993,2018-9-20,多云,34,25,无持续风向1-2级,
994,2018-9-21,雷阵雨,34,25,无持续风向1-2级,
995,2018-9-22,多云,33,26,无持续风向1-2级,
996,2018-9-23,雷阵雨,31,25,无持续风向1-2级,
997,2018-9-24,雷阵雨,31,25,无持续风向1-2级,
998,2018-9-25,雷阵雨,32,25,无持续风向1-2级,
999,2018-9-26,雷阵雨,32,25,无持续风向1-2级,
1000,2018-9-27,多云,31,24,无持续风向1-2级,
1001,2018-9-28,晴,32,24,北风3-4级,
1002,2018-9-29,晴,29,22,北风3-4级,
